GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
triangle,default,Triangle,0,282,0,34,0,44,0,23,0,6
triangle,default,Point,0,15,0,0,0,6,0,3,0,3
